Unit price,Quantity,Tax 5%,Total,Date,cogs,gross margin percentage,gross income,Rating,Hour,Branch_B,Branch_C,City_Naypyitaw,City_Yangon,Customer type_Normal,Gender_Male,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Payment_Credit card,Payment_Ewallet
0.71884733,0.6666667,0.57195455,0.57195455,2019-01-05,0.57195455,0.0,0.57195455,0.85,13,False,False,False,True,False,False,False,False,True,False,False,False,True
0.057854917,0.44444445,0.073890194,0.073890194,2019-03-08,0.073890194,0.0,0.073890194,0.93333334,10,False,True,True,False,True,False,False,False,False,False,False,False,False
0.40331554,0.6666667,0.3504736,0.3504736,2019-03-03,0.3504736,0.0,0.3504736,0.56666666,13,False,False,False,True,True,True,False,False,False,True,False,True,False
0.53560305,0.7777778,0.5082838,0.5082838,2019-01-27,0.5082838,0.0,0.5082838,0.73333335,20,False,False,False,True,False,True,False,False,True,False,False,False,True
0.8481308,0.6666667,0.6627024,0.6627024,2019-02-08,0.6627024,0.0,0.6627024,0.21666667,10,False,False,False,True,True,True,False,False,False,False,True,False,True
0.837895,0.6666667,0.6555175,0.6555175,2019-03-25,0.6555175,0.0,0.6555175,0.016666668,18,False,True,True,False,True,True,False,False,False,False,False,False,True
0.65376055,0.5555556,0.44946617,0.44946617,2019-02-25,0.44946617,0.0,0.44946617,0.3,14,False,False,False,True,False,False,False,False,False,False,False,False,True
0.70627505,1.0,0.8093336,0.8093336,2019-02-24,0.8093336,0.0,0.8093336,0.6666667,11,False,True,True,False,True,False,False,False,False,True,False,False,True
0.29127726,0.11111111,0.06956144,0.06956144,2019-01-10,0.06956144,0.0,0.06956144,0.53333336,17,False,False,False,True,False,False,False,False,True,False,False,True,False
0.49799734,0.22222222,0.1722022,0.1722022,2019-02-20,0.1722022,0.0,0.1722022,0.31666666,13,True,False,False,False,False,False,False,True,False,False,False,True,False
0.048954163,0.33333334,0.05327279,0.05327279,2019-02-06,0.05327279,0.0,0.05327279,0.083333336,18,True,False,False,False,False,False,True,False,False,False,False,False,True
0.17167334,0.33333334,0.10249573,0.10249573,2019-03-09,0.10249573,0.0,0.10249573,0.46666667,17,True,False,False,False,False,True,False,False,False,False,False,False,False
0.41021362,0.44444445,0.25055504,0.25055504,2019-02-12,0.25055504,0.0,0.25055504,0.51666665,10,False,False,False,True,True,False,False,False,False,False,False,False,True
0.36838007,1.0,0.4705075,0.4705075,2019-02-07,0.4705075,0.0,0.4705075,0.7,16,False,False,False,True,True,True,False,True,False,False,False,False,True
0.6820205,1.0,0.78501225,0.78501225,2019-03-29,0.78501225,0.0,0.78501225,0.28333333,19,False,False,False,True,True,False,False,False,True,False,False,False,False
0.9305741,0.5555556,0.616012,0.616012,2019-01-15,0.616012,0.0,0.616012,0.083333336,16,True,False,False,False,False,False,False,False,False,False,True,False,False
0.6547619,0.6666667,0.5269711,0.5269711,2019-03-11,0.5269711,0.0,0.5269711,0.1,11,False,False,False,True,False,False,False,False,True,False,False,True,False
0.6957054,0.5555556,0.4747024,0.4747024,2019-01-01,0.4747024,0.0,0.4747024,0.48333332,10,False,False,False,True,True,True,False,False,False,False,True,True,False
0.4961059,0.22222222,0.17163321,0.17163321,2019-01-21,0.17163321,0.0,0.17163321,0.76666665,18,False,False,False,True,True,True,False,True,False,False,False,True,False
