age,income,credit_score,loan_status,education_Bachelor,education_High School,education_Master,education_PhD,city_Chicago,city_Houston,city_Los Angeles,city_New York
56,40250.0,630.0,0,False,False,True,False,True,False,False,False
69,64058.0,557.0,1,False,False,False,True,False,False,True,False
46,47575.0,641.0,1,False,False,True,False,False,True,False,False
32,29880.0,649.4025223331581,0,True,False,False,False,False,False,False,True
60,28608.0,654.0,0,False,False,False,True,False,False,True,False
25,59092.0,621.0,0,False,False,True,False,False,False,False,True
38,27698.0,642.0,0,False,False,False,True,False,False,False,True
56,54746.0,612.0,1,False,False,True,False,False,True,False,False
36,56669.0,594.0,0,False,False,False,True,False,True,False,False
40,35069.0,687.0,1,True,False,False,False,True,False,False,False
28,50737.802307288934,654.0,1,True,False,False,False,True,False,False,False
28,24233.0,649.4025223331581,0,False,True,False,False,True,False,False,False
41,54446.0,624.0,1,False,False,False,True,False,False,True,False
53,49387.0,640.0,1,False,True,False,False,True,False,False,False
57,48215.0,658.0,1,False,False,False,True,False,False,False,True
41,32331.0,736.0,1,False,False,True,False,True,False,False,False
20,35944.0,682.0,1,False,False,True,False,False,True,False,False
39,74282.0,616.0,1,False,True,False,False,True,False,False,False
19,68227.0,617.0,0,False,False,False,True,False,False,True,False
41,61131.0,609.0,1,False,True,False,False,False,False,True,False
61,64097.0,639.0,1,True,False,False,False,False,False,False,True
47,62690.0,609.0,1,False,False,True,False,False,False,True,False
55,45149.0,673.0,1,False,False,True,False,True,False,False,False
38,27912.0,649.4025223331581,0,False,True,False,False,False,False,True,False
50,48654.0,663.0,0,False,False,False,True,False,False,False,True
29,67751.0,713.0,1,False,False,True,False,True,False,False,False
39,40089.0,693.0,1,False,True,False,False,False,False,False,True
61,65347.0,615.0,1,True,False,False,False,False,False,True,False
42,51373.0,688.0,1,False,True,False,False,False,False,True,False
66,29219.0,641.0,1,False,True,False,False,False,False,False,True
44,33390.0,553.0,1,False,True,False,False,True,False,False,False
59,63789.0,649.4025223331581,0,False,False,True,False,False,False,True,False
45,58287.0,618.0,1,False,False,False,True,False,True,False,False
33,51526.0,650.0,1,False,False,True,False,False,False,True,False
32,45889.0,732.0,1,False,True,False,False,True,False,False,False
64,53158.0,661.0,1,False,False,False,True,False,False,True,False
68,63204.0,599.0,1,False,False,False,True,False,False,False,True
61,72137.0,649.4025223331581,0,False,False,True,False,False,False,True,False
69,72855.0,668.0,0,True,False,False,False,False,False,True,False
20,55579.0,593.0,1,False,False,True,False,True,False,False,False
54,47421.0,569.0,0,False,False,False,True,False,False,False,True
68,50737.802307288934,601.0,0,False,False,False,True,True,False,False,False
24,57831.0,691.0,0,False,False,False,True,False,False,True,False
38,57771.0,634.0,1,False,False,True,False,False,True,False,False
26,69619.0,654.0,0,True,False,False,False,False,False,True,False
56,81736.0,583.0,1,False,True,False,False,True,False,False,False
35,46921.0,693.0,1,False,False,True,False,False,True,False,False
21,50737.802307288934,549.0,1,False,False,False,True,True,False,False,False
42,67583.0,617.0,1,False,False,True,False,True,False,False,False
31,48487.0,670.0,0,False,False,False,True,False,False,False,True
67,72478.0,593.0,1,False,True,False,False,False,True,False,False
26,75284.0,680.0,1,False,True,False,False,False,False,True,False
43,43095.0,606.0,1,True,False,False,False,True,False,False,False
19,75983.0,588.0,1,False,False,False,True,False,False,True,False
37,66126.0,714.0,1,False,False,True,False,False,False,False,True
45,85528.0,657.0,0,True,False,False,False,False,False,False,True
64,43639.0,675.0,0,False,True,False,False,False,True,False,False
24,44698.0,700.0,1,False,False,True,False,False,False,False,True
25,50737.802307288934,681.0,0,True,False,False,False,False,False,True,False
64,55628.0,611.0,1,False,True,False,False,False,False,False,True
52,41555.0,618.0,0,False,False,False,True,False,False,False,True
31,48772.0,671.0,0,False,False,True,False,True,False,False,False
34,30331.0,649.4025223331581,1,True,False,False,False,False,False,False,True
53,67976.0,679.0,1,False,False,True,False,True,False,False,False
67,42654.0,647.0,0,False,False,True,False,False,False,False,True
21,47365.0,625.0,1,False,True,False,False,False,True,False,False
19,38605.0,596.0,1,False,False,False,True,False,True,False,False
23,43815.0,612.0,0,False,True,False,False,True,False,False,False
59,28820.0,644.0,0,False,False,True,False,False,False,False,True
21,57234.0,741.0,1,True,False,False,False,False,False,True,False
46,43701.0,723.0,0,False,False,False,True,False,True,False,False
35,66968.0,617.0,1,False,True,False,False,False,False,True,False
43,45878.0,653.0,1,False,False,True,False,False,True,False,False
61,70766.0,635.0,1,False,True,False,False,False,True,False,False
51,61361.0,656.0,1,False,True,False,False,False,False,False,True
27,50737.802307288934,662.0,1,False,True,False,False,False,True,False,False
53,73703.0,676.0,0,False,False,True,False,False,False,True,False
65,43858.0,630.0,0,True,False,False,False,False,False,False,True
32,51149.0,614.0,1,False,True,False,False,False,False,False,True
